STA_SEQ,NAME,YLAT,XLONG,SDATE,SYEAR,BCG,YCNT,MINYEAR,MAXYEAR
14147,Broad Brook,41.9147,-72.549,1993-11-03,1993,5,7,1993,2014
14442,Sandy Brook,41.974,-73.0406,1993-11-04,1993,2.75,25,1993,2018
14450,Shepaug River,41.5489,-73.3308,1993-11-04,1993,3.25,26,1991,2018
14244,Hockanum River,41.7883,-72.5503,1993-11-08,1993,5,2,1993,1998
14235,Hockanum River,41.7822,-72.5912,1993-11-08,1993,5,6,1992,2010
14237,Hockanum River,41.7859,-72.5569,1993-11-08,1993,5,1,1993,1993
14293,Mianus River,41.0806,-73.5812,1993-11-09,1993,4,4,1993,2013
14286,Mattabesset River,41.6201,-72.7937,1993-11-12,1993,5.25,2,1993,2008
14278,Little River,41.6158,-72.0416,1993-11-16,1993,5,8,1993,2015
14277,Little River,41.6393,-72.0582,1993-11-16,1993,3,5,1993,2014
14413,Quinnipiac River,41.528244,-72.856272,1994-10-05,1994,5.5,14,1991,2018
14420,Quinnipiac River,41.5502,-72.8705,1994-10-05,1994,5,3,1993,2009
14414,Quinnipiac River,41.4501,-72.8407,1994-10-05,1994,5,14,1991,2018
14390,Pequabuck River,41.6742,-72.9619,1994-10-06,1994,5,12,1990,2017
14389,Pequabuck River,41.6693,-72.9936,1994-10-06,1994,5,7,1990,2008
14392,Pequabuck River,41.6738,-72.8977,1994-10-06,1994,5,16,1990,2018
14388,Pequabuck River,41.678,-73.0002,1994-10-06,1994,5,3,1991,1994
14393,Pequabuck River,41.7046,-72.8504,1994-10-06,1994,5,7,1990,1998
14470,Tankerhoosen River,41.8272,-72.464,1994-10-11,1994,3,14,1994,2019
14314,Natchaug River,41.8008,-72.1182,1994-10-11,1994,2,19,1989,2017
14492,Willimantic River,41.8326,-72.3079,1994-10-11,1994,3,5,1989,2014
14441,Salmon River,41.5742,-72.4294,1994-10-13,1994,3,24,1991,2018
14288,Mattabesset River,41.6189,-72.7127,1994-10-17,1994,5,10,1992,2014
14442,Sandy Brook,41.974,-73.0406,1994-10-24,1994,2,25,1993,2018
14450,Shepaug River,41.5489,-73.3308,1994-10-25,1994,3,26,1991,2018
14254,Housatonic River,41.8906,-73.3576,1994-10-25,1994,4,5,1994,2016
15670,Sympaug Brook,41.3921,-73.4285,1994-10-26,1994,5,4,1993,2006
14458,Still River,41.4389,-73.401,1994-10-26,1994,5,13,1991,2018
14444,Saugatuck River,41.2945,-73.3948,1994-11-03,1994,3,23,1991,2018
14347,Naugatuck River,41.7769,-73.1181,1994-11-08,1994,4.5,1,1994,1994
14344,Naugatuck River,41.7806,-73.1175,1994-11-09,1994,5,1,1994,1994
14400,Pocotopaug Creek,41.565,-72.5069,1994-11-17,1994,5,4,1994,2012
14399,Pocotopaug Creek,41.573,-72.5015,1994-11-17,1994,5,1,1994,1994
14413,Quinnipiac River,41.528244,-72.856272,1995-10-11,1995,5.25,14,1991,2018
14188,Eightmile River,41.588,-72.8977,1995-10-11,1995,4,10,1993,2003
14472,Ten Mile River,41.5655,-72.8905,1995-10-11,1995,5,3,1995,2007
14226,Harbor Brook,41.5314,-72.8218,1995-10-11,1995,5,8,1989,2016
14314,Natchaug River,41.8008,-72.1182,1995-10-12,1995,2.628205128,19,1989,2017
14410,Quinebaug River,42.022,-71.9528,1995-10-12,1995,4,9,1995,2018
14206,French River,41.9548,-71.884,1995-10-12,1995,5,7,1995,2014
14288,Mattabesset River,41.6189,-72.7127,1995-10-13,1995,5,10,1992,2014
14414,Quinnipiac River,41.4501,-72.8407,1995-10-13,1995,5,14,1991,2018
14197,FARMINGTON RIVER,41.7508,-72.8717,1995-10-18,1995,3.964788732,8,1995,2018
14442,Sandy Brook,41.974,-73.0406,1995-10-18,1995,2,25,1993,2018
14482,West Branch Naugatuck River,41.8181,-73.1441,1995-10-18,1995,4,7,1991,2016
14316,Naugatuck River,41.6159,-73.0579,1995-10-19,1995,5,15,1991,2019
14317,Naugatuck River,41.4435,-73.0642,1995-10-19,1995,5,17,1991,2018
14470,Tankerhoosen River,41.8272,-72.464,1995-10-26,1995,2.5,14,1994,2019
14441,Salmon River,41.5742,-72.4294,1995-10-26,1995,2.023809524,24,1991,2018
14235,Hockanum River,41.7822,-72.5912,1995-10-27,1995,5,6,1992,2010
14446,Scantic River,41.8941,-72.5723,1995-10-27,1995,4,4,1995,2010
14383,Pequabuck River,41.6719,-72.8751,1995-11-27,1995,5,5,1989,1995
14390,Pequabuck River,41.6742,-72.9619,1995-11-27,1995,5,12,1990,2017
14392,Pequabuck River,41.6738,-72.8977,1995-11-27,1995,5,16,1990,2018
14393,Pequabuck River,41.7046,-72.8504,1995-11-27,1995,5,7,1990,1998
14406,Pootatuck River,41.4064,-73.272,1995-11-28,1995,3,2,1995,1998
14407,Pootatuck River,41.4142,-73.2823,1995-11-28,1995,3,3,1995,1998
14408,Pootatuck River,41.4144,-73.2825,1995-11-28,1995,3,3,1995,1998
14390,Pequabuck River,41.6742,-72.9619,1996-10-16,1996,5,12,1990,2017
14288,Mattabesset River,41.6189,-72.7127,1996-10-16,1996,5,10,1992,2014
14392,Pequabuck River,41.6738,-72.8977,1996-10-16,1996,5,16,1990,2018
14404,Pomperaug River,41.4717,-73.256,1996-10-29,1996,3.75,8,1996,2016
14403,Pomperaug River,41.5491,-73.2165,1996-10-29,1996,3,1,1996,1996
14488,West Aspetuck River,41.604889,-73.428789,1996-10-30,1996,3,4,1996,2016
14229,Hockanum Brook,41.4373,-73.051,1996-10-31,1996,3.614583333,1,1996,1996
14139,Bladens River (Bladdens River),41.3958,-73.0608,1996-10-31,1996,3,1,1996,1996
14453,Spruce Brook,41.4562,-73.0626,1996-10-31,1996,3,1,1996,1996
14138,Bladens River (Bladdens River),41.3972,-73.0718,1996-11-01,1996,4.878640777,2,1996,2000
14280,Little River,41.4058,-73.0926,1996-11-01,1996,3,4,1996,2016
15480,Naugatuck River,41.7347,-73.1051,1996-11-04,1996,5,3,1996,2002
14456,Steele Brook,41.5805,-73.0703,1996-11-04,1996,5,12,1996,2020
14482,West Branch Naugatuck River,41.8181,-73.1441,1996-11-05,1996,4,7,1991,2016
14179,East Branch Naugatuck River,41.797345,-73.115842,1996-11-05,1996,5,5,1996,2016
14348,Naugatuck River,41.7631,-73.1173,1996-11-05,1996,5,3,1991,2004
14341,Naugatuck River,41.7891,-73.1145,1996-11-05,1996,5,7,1991,2016
14247,Hollenbeck River,41.9431,-73.3058,1996-11-06,1996,2,6,1996,2016
14132,Blackberry River,42.0236,-73.341,1996-11-06,1996,3,3,1990,2006
14195,Farmill River,41.2591,-73.0979,1996-11-07,1996,3.5,6,1996,2016
14186,Eightmile Brook,41.3885,-73.1648,1996-11-07,1996,2,3,1996,2016
14355,Nonewaug River,41.5575,-73.2122,1996-11-13,1996,3.203539823,4,1996,2016
14183,East Aspetuck River,41.5979,-73.4152,1996-11-13,1996,3,5,1996,2016
14196,Farmill River,41.273,-73.1129,1996-11-14,1996,4,1,1996,1996
14188,Eightmile River,41.588,-72.8977,1996-11-14,1996,3,10,1993,2003
14441,Salmon River,41.5742,-72.4294,1996-11-18,1996,2.5,24,1991,2018
14446,Scantic River,41.8941,-72.5723,1996-11-20,1996,4,4,1995,2010
14442,Sandy Brook,41.974,-73.0406,1996-11-20,1996,2,25,1993,2018
14450,Shepaug River,41.5489,-73.3308,1996-11-21,1996,3,26,1991,2018
14317,Naugatuck River,41.4435,-73.0642,1996-11-25,1996,5.75,17,1991,2018
14318,Naugatuck River,41.3387,-73.0806,1996-11-25,1996,5,5,1991,2008
14317,Naugatuck River,41.4435,-73.0642,1997-10-01,1997,5.25,17,1991,2018
14329,Naugatuck River,41.5304,-73.0402,1997-10-01,1997,5.25,7,1997,2004
14332,Naugatuck River,41.5002,-73.0503,1997-10-01,1997,5,9,1997,2018
14330,Naugatuck River,41.5182,-73.0536,1997-10-01,1997,5,1,1997,1997
14439,Salmon Creek (Salmon Kill),41.9337,-73.3908,1997-10-02,1997,3.419642857,4,1997,2016
14254,Housatonic River,41.8906,-73.3576,1997-10-02,1997,5,5,1994,2016
14442,Sandy Brook,41.974,-73.0406,1997-10-07,1997,2,25,1993,2018
14407,Pootatuck River,41.4142,-73.2823,1997-10-08,1997,3.975609756,3,1995,1998
14409,Pootatuck River,41.4162,-73.2824,1997-10-08,1997,4,6,1997,2016
14408,Pootatuck River,41.4144,-73.2825,1997-10-08,1997,3,3,1995,1998
14128,Bantam River,41.6884,-73.2668,1997-10-09,1997,3,4,1997,2016
