STA_SEQ,YLAT,XLONG,SDATE,SYEAR,BCG,MEM
14280,41.4058,-73.0926,1996-11-01,1996,3,1
14456,41.5805,-73.0703,1996-11-04,1996,5,1
15480,41.7347,-73.1051,1996-11-04,1996,5,1
14179,41.797345,-73.115842,1996-11-05,1996,5,1
14341,41.7891,-73.1145,1996-11-05,1996,5,1
14348,41.7631,-73.1173,1996-11-05,1996,5,1
14482,41.8181,-73.1441,1996-11-05,1996,4,1
14132,42.0236,-73.341,1996-11-06,1996,3,1
14247,41.9431,-73.3058,1996-11-06,1996,2,1
14186,41.3885,-73.1648,1996-11-07,1996,2,1
14183,41.5979,-73.4152,1996-11-13,1996,3,1
14188,41.588,-72.8977,1996-11-14,1996,3,1
14196,41.273,-73.1129,1996-11-14,1996,4,1
14442,41.974,-73.0406,1996-11-20,1996,2,1
14446,41.8941,-72.5723,1996-11-20,1996,4,1
14450,41.5489,-73.3308,1996-11-21,1996,3,1
14318,41.3387,-73.0806,1996-11-25,1996,5,1
14330,41.5182,-73.0536,1997-10-01,1997,5,1
14332,41.5002,-73.0503,1997-10-01,1997,5,1
14254,41.8906,-73.3576,1997-10-02,1997,5,1
14442,41.974,-73.0406,1997-10-07,1997,2,1
14408,41.4144,-73.2825,1997-10-08,1997,3,1
14409,41.4162,-73.2824,1997-10-08,1997,4,1
14128,41.6884,-73.2668,1997-10-09,1997,3,1
14441,41.5742,-72.4294,1997-10-10,1997,3,1
14301,41.3828,-72.8967,1997-10-14,1997,3,1
14414,41.4501,-72.8407,1997-10-14,1997,5,1
14489,41.3303,-72.9663,1997-10-17,1997,5,1
14150,41.0276,-73.6621,1997-10-20,1997,5,1
14491,41.3574,-72.7206,1997-10-21,1997,3,1
14490,41.3399,-72.7154,1997-10-23,1997,3,1
14450,41.5489,-73.3308,1997-10-24,1997,3,1
14360,41.2675,-73.4414,1997-10-28,1997,3,1
14363,41.3101,-73.4691,1997-10-28,1997,5,1
14364,41.2569,-73.4288,1997-10-28,1997,5,1
14369,41.2048,-73.4306,1997-10-29,1997,3,1
14361,41.1359,-73.426,1997-10-30,1997,5,1
14444,41.2945,-73.3948,1997-10-30,1997,3,1
14432,41.0661,-73.5484,1997-10-31,1997,5,1
14226,41.5314,-72.8218,1997-11-04,1997,5,1
14417,41.5878,-72.891,1997-11-04,1997,5,1
14473,41.5267,-72.9331,1997-11-04,1997,4,1
14201,41.1418,-73.4833,1997-11-05,1997,5,1
14370,41.1909,-73.4297,1997-11-05,1997,4,1
14486,41.236,-73.0573,1997-11-06,1997,4,1
14298,41.208,-73.257,1997-11-13,1997,4,1
14395,41.2881,-73.2348,1997-11-13,1997,4,1
14443,41.2245,-73.3469,1997-11-19,1997,4,1
14158,41.6777,-72.9077,1998-10-01,1998,4,1
14391,41.6681,-72.9208,1998-10-01,1998,5,1
14392,41.6738,-72.8977,1998-10-01,1998,5,1
14153,41.5547,-72.6737,1998-10-02,1998,4,1
14188,41.588,-72.8977,1998-10-02,1998,4,1
14393,41.7046,-72.8504,1998-10-02,1998,5,1
14317,41.4435,-73.0642,1998-10-05,1998,5,1
14332,41.5002,-73.0503,1998-10-05,1998,5,1
14397,41.7186,-72.7274,1998-10-06,1998,5,1
14316,41.6159,-73.0579,1998-10-07,1998,5,1
14444,41.2945,-73.3948,1998-10-07,1998,3,1
14303,41.9838,-72.6582,1998-10-13,1998,5,1
14465,41.9608,-72.711,1998-10-13,1998,4,1
14435,41.9366,-72.7749,1998-10-19,1998,3,1
14484,41.9372,-72.8215,1998-10-19,1998,2,1
14148,41.7846,-72.9657,1998-10-20,1998,3,1
14197,41.7508,-72.8717,1998-10-20,1998,3,1
14349,41.83,-72.9947,1998-10-20,1998,3,1
14283,41.9199,-73.0597,1998-10-21,1998,4,1
14442,41.974,-73.0406,1998-10-21,1998,2,1
14459,41.929,-73.0584,1998-10-21,1998,4,1
14460,41.9476,-73.0487,1998-10-21,1998,4,1
14461,41.9685,-73.0331,1998-10-21,1998,3,1
14147,41.9147,-72.549,1998-10-22,1998,5,1
14314,41.8008,-72.1182,1998-10-23,1998,2,1
14436,41.7191,-72.602,1998-10-23,1998,4,1
14235,41.7822,-72.5912,1998-10-26,1998,5,1
14238,41.8758,-72.4743,1998-10-26,1998,5,1
14241,41.8503,-72.4878,1998-10-26,1998,5,1
14242,41.8195,-72.5035,1998-10-26,1998,5,1
14244,41.7883,-72.5503,1998-10-26,1998,5,1
14469,41.8201,-72.5033,1998-10-26,1998,5,1
14260,41.5799,-72.4028,1998-10-27,1998,3,1
14396,41.5079,-72.4952,1998-10-28,1998,2,1
14433,41.665,-72.6045,1998-10-28,1998,3,1
14377,41.3991,-72.4651,1998-10-29,1998,3,1
14407,41.4142,-73.2823,1998-11-04,1998,3,1
14408,41.4144,-73.2825,1998-11-04,1998,3,1
14437,41.7167,-72.5851,1998-11-09,1998,4,1
14596,41.604,-71.9852,1999-10-06,1999,5,1
14601,41.5632,-71.9834,1999-10-06,1999,3,1
14277,41.6393,-72.0582,1999-10-07,1999,3,1
14278,41.6158,-72.0416,1999-10-07,1999,5,1
14188,41.588,-72.8977,1999-10-12,1999,4,1
14605,41.5908,-72.9009,1999-10-12,1999,3,1
14583,41.9525,-72.3039,1999-10-13,1999,5,1
14606,41.9659,-72.3278,1999-10-13,1999,3,1
14492,41.8326,-72.3079,1999-10-14,1999,3,1
14582,41.7623,-72.2691,1999-10-14,1999,4,1
14589,41.8716,-72.0877,1999-10-19,1999,2,1
14590,41.8671,-72.0921,1999-10-19,1999,2,1
14600,41.7407,-71.9488,1999-10-22,1999,3,1
14294,41.6643,-71.9198,1999-10-25,1999,5,1
14595,41.721906,-71.836053,1999-10-25,1999,3,1
14314,41.8008,-72.1182,1999-10-26,1999,3,1
14586,41.7212,-72.2548,1999-10-26,1999,3,1
14587,41.6937,-72.2632,1999-10-26,1999,3,1
14591,41.7971,-72.1716,1999-10-26,1999,3,1
14410,42.022,-71.9528,1999-10-27,1999,3,1
14205,41.8451,-71.8912,1999-10-28,1999,4,1
14451,41.7002,-72.1823,1999-10-28,1999,4,1
14594,41.7148,-71.8931,1999-10-28,1999,3,1
14598,41.6022,-71.9868,1999-10-28,1999,5,1
14276,41.928,-71.9315,1999-11-01,1999,3,1
14305,42.0147,-72.0017,1999-11-01,1999,5,1
14450,41.5489,-73.3308,1999-11-02,1999,3,1
14441,41.5742,-72.4294,1999-11-08,1999,2,1
14442,41.974,-73.0406,1999-11-09,1999,2,1
14520,41.9751,-73.4212,1999-11-09,1999,5,1
14521,41.9668,-73.4277,1999-11-09,1999,4,1
14329,41.5304,-73.0402,1999-11-10,1999,5,1
14314,41.8008,-72.1182,2000-10-02,2000,3,1
14580,41.9505,-72.3037,2000-10-03,2000,5,1
14583,41.9525,-72.3039,2000-10-03,2000,5,1
14708,41.9519,-72.3084,2000-10-03,2000,4,1
14450,41.5489,-73.3308,2000-10-04,2000,3,1
14710,41.683397,-73.298268,2000-10-04,2000,3,1
14459,41.929,-73.0584,2000-10-05,2000,5,1
14713,41.9503,-73.049,2000-10-05,2000,5,1
14501,41.6423,-72.7503,2000-10-06,2000,5,1
14394,41.2343,-73.1838,2000-10-10,2000,5,1
14317,41.4435,-73.0642,2000-10-11,2000,5,1
14318,41.3387,-73.0806,2000-10-11,2000,5,1
14332,41.5002,-73.0503,2000-10-11,2000,5,1
14714,41.513,-73.0529,2000-10-11,2000,5,1
14715,41.514,-73.0539,2000-10-11,2000,5,1
14323,41.5894,-73.0574,2000-10-12,2000,5,1
14456,41.5805,-73.0703,2000-10-12,2000,5,1
14628,41.5687,-73.0574,2000-10-12,2000,5,1
14138,41.3972,-73.0718,2000-10-16,2000,5,1
14194,41.3331,-72.8153,2000-10-16,2000,5,1
15670,41.3921,-73.4285,2000-10-17,2000,5,1
14706,41.3928,-71.9604,2000-10-19,2000,3,1
14725,41.4257,-71.9573,2000-10-19,2000,5,1
14738,41.5433,-72.1734,2000-10-20,2000,3,1
14739,41.5724,-72.1324,2000-10-20,2000,3,1
14444,41.2945,-73.3948,2000-10-23,2000,3,1
14740,41.512349,-73.52695,2000-10-23,2000,3,1
14458,41.4389,-73.401,2000-10-24,2000,5,1
14462,41.3923,-73.4348,2000-10-24,2000,5,1
14464,41.4063,-73.4253,2000-10-24,2000,6,1
14379,41.3978,-71.8422,2000-10-25,2000,3,1
14719,41.4566,-71.8172,2000-10-25,2000,4,1
14720,41.4568,-71.8169,2000-10-25,2000,3,1
14721,41.4101,-71.8452,2000-10-25,2000,3,1
14735,41.5583,-72.112,2000-10-26,2000,3,1
14736,41.5753,-72.2847,2000-10-26,2000,3,1
14278,41.6158,-72.0416,2000-11-01,2000,4,1
14731,41.5021,-72.1235,2000-11-02,2000,3,1
14732,41.4981,-72.0365,2000-11-02,2000,3,1
14733,41.4366,-72.1062,2000-11-02,2000,5,1
14722,41.4462,-72.1253,2000-11-03,2000,4,1
14452,41.1503,-73.4434,2000-11-09,2000,5,1
14442,41.974,-73.0406,2001-10-04,2001,3,1
14450,41.5489,-73.3308,2001-10-04,2001,4,1
14188,41.588,-72.8977,2001-10-05,2001,4,1
14441,41.5742,-72.4294,2001-10-11,2001,3,1
14580,41.9505,-72.3037,2001-10-17,2001,5,1
14581,41.9423,-72.3058,2001-10-17,2001,5,1
14583,41.9525,-72.3039,2001-10-17,2001,5,1
14584,41.904,-72.2891,2001-10-17,2001,2,1
14317,41.4435,-73.0642,2001-10-22,2001,5,1
14456,41.5805,-73.0703,2001-10-23,2001,5,1
14706,41.3928,-71.9604,2001-10-30,2001,3,1
14720,41.4568,-71.8169,2001-10-30,2001,3,1
14321,41.6497,-73.0774,2001-10-31,2001,5,1
14322,41.631,-73.0772,2001-10-31,2001,5,1
15480,41.7347,-73.1051,2001-11-06,2001,5,1
14316,41.6159,-73.0579,2002-10-01,2002,5,1
14321,41.6497,-73.0774,2002-10-01,2002,5,1
14322,41.631,-73.0772,2002-10-02,2002,5,1
14329,41.5304,-73.0402,2002-10-02,2002,5,1
14332,41.5002,-73.0503,2002-10-02,2002,5,1
14853,41.2026,-73.4311,2002-10-03,2002,5,1
14317,41.4435,-73.0642,2002-10-04,2002,5,1
14858,41.6801,-72.4673,2002-10-07,2002,2,1
14442,41.974,-73.0406,2002-10-08,2002,2,1
14843,41.9904,-73.058,2002-10-08,2002,2,1
14856,41.3807,-72.5904,2002-10-09,2002,3,1
14866,41.9833,-72.2179,2002-10-10,2002,2,1
14860,41.4062,-72.0747,2002-10-15,2002,3,1
14861,41.4209,-72.2209,2002-10-15,2002,3,1
14862,41.5582,-72.1366,2002-10-15,2002,3,1
14863,42.0134,-71.802,2002-10-17,2002,3,1
14888,41.7109,-71.8778,2002-10-17,2002,3,1
14599,41.8499,-71.9359,2002-10-22,2002,3,1
14580,41.9505,-72.3037,2002-10-23,2002,5,1
14581,41.9423,-72.3058,2002-10-23,2002,5,1
14583,41.9525,-72.3039,2002-10-23,2002,5,1
14584,41.904,-72.2891,2002-10-23,2002,2,1
14706,41.3928,-71.9604,2002-10-24,2002,3,1
14720,41.4568,-71.8169,2002-10-24,2002,2,1
14859,41.4304,-71.8526,2002-10-24,2002,3,1
14450,41.5489,-73.3308,2002-10-25,2002,4,1
14840,41.9741,-72.8375,2002-10-28,2002,2,1
14845,41.6782,-73.4515,2002-10-29,2002,3,1
14846,41.5851,-73.5108,2002-10-29,2002,2,1
14844,41.7243,-73.3345,2002-10-30,2002,3,1
14852,41.2415,-73.1341,2002-10-31,2002,5,1
15426,41.3872,-73.0191,2002-10-31,2002,3,1
14581,41.9423,-72.3058,2003-10-02,2003,5,1
14583,41.9525,-72.3039,2003-10-02,2003,4,1
14584,41.904,-72.2891,2003-10-02,2003,3,1
14720,41.4568,-71.8169,2003-10-07,2003,2,1
14721,41.4101,-71.8452,2003-10-07,2003,3,1
14706,41.3928,-71.9604,2003-10-09,2003,3,1
14444,41.2945,-73.3948,2003-10-14,2003,3,1
14188,41.588,-72.8977,2003-10-17,2003,3,1
14450,41.5489,-73.3308,2003-10-20,2003,3,1
14740,41.512349,-73.52695,2003-10-20,2003,3,1
14741,41.3287,-73.5218,2003-10-20,2003,3,1
15308,42.0171,-73.3178,2003-11-03,2003,3,1
15309,42.0156,-73.3147,2003-11-03,2003,3,1
14442,41.974,-73.0406,2003-11-12,2003,2,1
15046,41.9062,-72.4035,2003-11-13,2003,2,1
15047,41.8676,-72.4341,2003-11-13,2003,5,1
15048,41.8666,-72.4648,2003-11-13,2003,5,1
14316,41.6159,-73.0579,2003-11-19,2003,5,1
14317,41.4435,-73.0642,2003-11-19,2003,5,1
14322,41.631,-73.0772,2003-11-19,2003,5,1
14332,41.5002,-73.0503,2003-11-19,2003,5,1
